Numéro;Libellé
665;Bonduelle vers Nord
744;Calvaire vers Est
666;Pont Audibert vers Sud
681;Stalingrad vers est
679;Bd Malakoff vers Gare Sud
699;Coteaux vers Est
787;50 Otages Vers Sud
788;50 Otages Vers Nord
700;Promenade de Bellevue vers Ouest
89;Coteaux vers Ouest
880;Madeleine vers Nord
890;Pont de Pirmil vers Sud
674;Pont Haudaudine vers Sud
683;pont Anne de Bretagne vers Nord
727;Pont Tabarly vers Nord
747;Chemin de halage Tortière vers Nord
746;Chemin de halage Tortière vers Sud
943;Magellan vers Ouest
944;Magellan vers Est
1041;Guy Mollet vers Nord
1042;Guy Mollet vers Sud
668;De Gaulle vers sud
682;pont Anne de Bretagne vers Sud
677;Pont Willy Brandt vers Malakoff
725;Pont Tabarly vers Sud
945;Magellan vers Ouest
949;avenue de la Libération vers Sud
980;Pont Tabarly vers Sud
995;Ceineray vers Ouest
1031;VN751A Vers St Leger les Vignes
667;Entrée pont Audibert vers Nord
672;Pont de Pornic vers Nord
786;50 Otages Vers Nord
847;Entrée pont Audibert vers Sud
907;Stade vers Est
996;Van Iseghem vers Nord
669;De Gaulle sortie Clémenceau vers Nord
673;Pont de Pornic vers Sud
680;Stalingrad vers ouest
676;Pont Willy Brandt vers Beaulieu
701;Promenade de Bellevue vers Est
743;Philippot vers ouest
742;Philippot vers Est
785;50 Otages Vers Sud
889;Stade vers Ouest
946;Magellan vers Est
960;Sorinières Vers Nord
997;Van Iseghem vers Sud
1032;VN vers Sucé sur Erdre
664;Bonduelle vers sud
670;Pont de Pirmil vers Sud
675;Pont Haudaudine vers Nord
745;Calvaire vers Ouest
881;Madeleine vers Sud
950;avenue de la Libération vers Nord
959;Sorinières Vers Sud
981;Pont Tabarly vers Nord
994;Ceineray vers Est
